Service;Agent;Time;Medium
IS-Network Access::Performance degradation - Local Network access;petros;37;Email
IS-Strategic OS-Software-Systems::Usage request - MS Windows;kallis;30;Email
IS-Fax::Usage request;petros;5;Email
Laptop Support::Usage request;giorgia;31;Email
Desktop Support::Keyboard Malfunction;giorgia;25;Email
IS-Wireless Network::Usage request;giorgia;15;Email
Laptop Support::Usage request;giorgia;31;Email
Laptop Support::Usage request;petros;11;Phone
IS-Printer support::Usage request;petros;12;Email
IS-Identity Management - IDM::Usage request;petros;27;Email
Laptop Support;petros;126;Email
Laptop Support;petros;21;Email
Laptop Support::Usage request;petros;17;Email
Specialized software::Usage request;petros;54;Email
IS-Strategic Software::Usage request-Ms Office 365;giorgia;15;Email
IS-Backup::CrashPlan usage request;giorgia;30;Email
Specialized software::Usage request;giorgia;61;Email
Specialized software::Usage request;giorgia;181;Email
IS-Backup::CrashPlan usage request;giorgia;31;Email
Specialized software::New installation;giorgia;31;Email
Specialized software::New installation;giorgia;181;Email
Specialized software::Usage request;giorgia;61;Email
Specialized software::Usage request;giorgia;241;Email
Specialized software::Usage request;giorgia;30;Email
IS-Peripheral Support::Usage request;giorgia;61;Email
Specialized software::New installation;giorgia;241;Email
Specialized software::New installation;giorgia;241;Email
Specialized software::New installation;giorgia;241;Email
Specialized software::Usage request;giorgia;31;Email
Specialized software::Usage request;giorgia;271;Email
Obsolete equipment Management;giorgia;62;Email
Specialized software::Usage request;giorgia;2;Email
Laptop Support::New Laptop;giorgia;32;Email
IS-Backup::CrashPlan usage request;kallis;10;Email
Laptop Support::Usage request;kallis;31;Email
IS-Network Access::Performance degradation - Local Network access;kallis;19;Phone
IS-Printer support::Usage request;giorgia;32;Email
Specialized software::Usage request;giorgia;241;Email
Specialized software::Usage request;giorgia;151;Email
Specialized software::Usage request;giorgia;181;Email
IS-Multimedia Equipment::Usage request - Audiovisual equipment;giorgia;31;Email
Laptop Support;kallis;120;Phone
IS-Central Labs::Pc Malfunction;kallis;15;Email
Desktop Support::Usage request;kallis;180;Email
IS-Printer support::Usage request;kallis;30;Email
IS-Strategic OS-Software-Systems::Usage request - MS Office;kallis;46;OnSiteVisit
IS-Backup::CrashPlan usage request;giorgia;21;Email
Laptop Support::Usage request;giorgia;121;Email
Laptop Support::Usage request;giorgia;151;Email
IS-e-Mail::Usage request;giorgia;31;Email
Laptop Support::Usage request;giorgia;61;Email
IS-Data Security and Protection::Phishing;giorgia;31;Phone
IS-Mailing Lists::Usage request;petros;8;Email
Specialized software::Usage request;kallis;23;Email
Specialized software::New installation;petros;29;Email
Desktop Support::Usage request;petros;314;Email
IS-Strategic OS-Software-Systems::Usage request - MS Windows;petros;72;Email
IS-Remote Access (VPN)::Usage request;petros;72;Email
Specialized software::New installation;kallis;63;Email
IS-Printer support::Usage request;petros;41;Email
IS-Remote Access (VPN)::Usage request;petros;22;Email
Laptop Support::Usage request;giorgia;121;Email
IS-Peripheral Support::Usage request;giorgia;61;Email
Laptop Support::Usage request;giorgia;181;Email
Laptop Support::Usage request;giorgia;121;Email
IS-Strategic OS-Software-Systems::Usage request - MS Office;giorgia;27;Email
Laptop Support::Usage request;giorgia;121;Email
Macintosh::New sw version;giorgia;15;Email
Specialized software::Usage request;giorgia;30;Email
IS-Peripheral Support;giorgia;30;Email
Desktop Support::Usage request;giorgia;30;Email
Laptop Support::Usage request;giorgia;30;Email
IS-Printer support::Usage request;giorgia;30;Email
IS-Identity Management - IDM::Account performance degradation;petros;10;Email
Desktop Support::Usage request;giorgia;60;Email
Laptop Support::Usage request;giorgia;15;Email
Laptop Support::Usage request;giorgia;30;Email
Obsolete equipment Management;giorgia;30;Email
Laptop Support::Usage request;giorgia;46;Email
Laptop Support::Usage request;giorgia;60;Email
Desktop Support::New Desktop;giorgia;240;Email
Laptop Support::Usage request;giorgia;180;Email
Laptop Support::Usage request;giorgia;120;Email
Specialized software::Usage request;giorgia;20;Email
Obsolete equipment Management;giorgia;150;Email
Laptop Support::Usage request;giorgia;180;Email
Desktop Support::New Desktop;giorgia;240;Email
Specialized software::Usage request;giorgia;60;Email
Laptop Support::Usage request;giorgia;30;Email
Laptop Support::Usage request;giorgia;63;Email
IS-Strategic Software::Usage request-Ms Office 365;giorgia;18;Email
Specialized software::Usage request;giorgia;30;Email
IS-Printer support;giorgia;31;Email
Specialized software::Usage request;giorgia;20;Email
